"","Question"
"Q7c_10","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Sorghum"
"Q7c_11","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Corn (silage)"
"Q7c_12","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Small Grain (silage)"
"Q7c_13","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Small Grain (hay)"
"Q7c_14","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - grass and grass mixtures (hay)"
"Q7c_15","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - grass and grass mixtures (pasture)"
"Q7c_16","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Sorghum, Sudangrass, or Sudan types"
"Q7c_17","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Mixed (hay)"
"Q7c_18","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Dry Beans"
"Q7c_19","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Sunflower (seed)"
"Q7c_20","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Oilseeds (ex. canola, camelina, safflower)"
"Q7c_21","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Sugar beets (sugar, ethanol, or animal feed)"
"Q7c_22","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Hemp"
"Q7c_23","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Other (please specify)"
"Q7c_23_TEXT","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Other (please specify) - Text"
"Q7d","Other priority management challenges? (please specify):"
"Q8_1","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Alfalfa"
"Q8_2","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Cotton"
"Q8_3","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Rice"
"Q8_4","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Wild Rice"
"Q8_5","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Wheat"
"Q8_6","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Triticale"
"Q8_7","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Barley"
"Q8_8","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Oats"
"Q8_9","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Corn"
"Q8_10","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Sorghum"
"Q8_11","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Corn (silage)"
"Q8_12","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Small Grain (silage)"
"Q8_13","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Small Grain (hay)"
"Q8_14","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - grass and grass mixtures (hay)"
"Q8_15","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - grass and grass mixtures (pasture)"
"Q8_16","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Sorghum, Sudangrass, or Sudan types"
"Q8_17","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Mixed (hay)"
"Q8_18","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Dry Beans"
"Q8_19","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Sunflower (seed)"
"Q8_20","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Oilseeds (ex. canola, camelina, safflower)"
"Q8_21","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Sugar beets (sugar, ethanol, or animal feed)"
"Q8_22","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Hemp"
"Q8_23","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Other (please specify)"
"Q8_23_TEXT","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Other (please specify) - Text"
"Q8b","Other primary reasons for growing the following crops? (please specify):"
"Q9_1","How often do the following priorities affect your management decisions for field crop production? - Profitability"
"Q9_2","How often do the following priorities affect your management decisions for field crop production? - Crop Yield"
"Q9_3","How often do the following priorities affect your management decisions for field crop production? - Crop Quality"
"Q9_4","How often do the following priorities affect your management decisions for field crop production? - Keeping input costs low"
"Q9_5","How often do the following priorities affect your management decisions for field crop production? - Soil Fertility"
"Q9_6","How often do the following priorities affect your management decisions for field crop production? - Land stewardship"
"Q9_7","How often do the following priorities affect your management decisions for field crop production? - Natural resource conservation"
"Q9_8","How often do the following priorities affect your management decisions for field crop production? - Meeting government regulations"
"Q9_9","How often do the following priorities affect your management decisions for field crop production? - Labor required"
"Q9_10","How often do the following priorities affect your management decisions for field crop production? - Ease of implementation"
"Q9_11","How often do the following priorities affect your management decisions for field crop production? - Certainty that a management practice will work"
"Q9_12","How often do the following priorities affect your management decisions for field crop production? - Availability of extension and outreach information"
"Q9_13","How often do the following priorities affect your management decisions for field crop production? - Availability of water"
"Q9_14","How often do the following priorities affect your management decisions for field crop production? - Other (please specify)"
"Q9_14_TEXT","How often do the following priorities affect your management decisions for field crop production? - Other (please specify) - Text"
"Q9c_1","How often do the following priorities affect your recommendations for field crop production? - Profitability"
"Q9c_2","How often do the following priorities affect your recommendations for field crop production? - Crop Yield"
"Q9c_3","How often do the following priorities affect your recommendations for field crop production? - Crop Quality"
"Q9c_4","How often do the following priorities affect your recommendations for field crop production? - Keeping input costs low"
"Q9c_5","How often do the following priorities affect your recommendations for field crop production? - Soil Fertility"
"Q9c_6","How often do the following priorities affect your recommendations for field crop production? - Land stewardship"
"Q9c_7","How often do the following priorities affect your recommendations for field crop production? - Natural resource conservation"
"Q9c_8","How often do the following priorities affect your recommendations for field crop production? - Meeting government regulations"
"Q9c_9","How often do the following priorities affect your recommendations for field crop production? - Labor required"
"Q9c_10","How often do the following priorities affect your recommendations for field crop production? - Ease of implementation"
"Q9c_11","How often do the following priorities affect your recommendations for field crop production? - Certainty that a management practice will work"
"Q9c_12","How often do the following priorities affect your recommendations for field crop production? - Availability of extension and outreach information"
"Q9c_13","How often do the following priorities affect your recommendations for field crop production? - Availability of water"
"Q9c_14","How often do the following priorities affect your recommendations for field crop production? - Other (please specify)"
"Q9c_14_TEXT","How often do the following priorities affect your recommendations for field crop production? - Other (please specify) - Text"
"Q10","Who do you communicate with when seeking information about field crop production? (Check all that apply) - Selected Choice"
"Q10_28_TEXT","Who do you communicate with when seeking information about field crop production? (Check all that apply) - Non-Profit Organization (please specify) - Text"
"Q10_15_TEXT","Who do you communicate with when seeking information about field crop production? (Check all that apply) - Other (please specify): - Text"
"Q11_1","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Attend a Field Day"
"Q11_2","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Read a UCCE Blog"
"Q11_3","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Call a UCCE advisor for a farm call"
"Q11_4","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Read a UCCE newsletter"
"Q11_5","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Interact with UCCE social media (Facebook, Instagram, etc.)"
"Q12_1","How much do you value the following: - Continuing Education Credits offered at UC Cooperative Extension meetings"
"Q12_2","How much do you value the following: - On-farm consultations"
"Q12_3","How much do you value the following: - Diagnosing crop injuries from insects, pathogens, or nutrients"
"Q12_4","How much do you value the following: - On-Farm Trials"
"Q13a_1","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Irrigation Management/Crop water requirements"
"Q13a_2","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Water Conservation and Storage"
"Q13a_3","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Nutrient Management (fertilizer application rates, timing, methods, etc.)"
"Q13a_4","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Salinity Management"
"Q13a_5","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Soil Health Management (ex. conservation tillage, crop rotation)"
"Q13a_6","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Cover Crops"
"Q13a_7","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Weed Control"
"Q13a_8","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Insect Pest Control"
"Q13a_9","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Disease Control"
"Q13a_10","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Manure Management"
"Q13a_11","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Compost Management"
"Q13a_12","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Crop Establishment"
"Q13a_13","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Variety Testing"
"Q13a_14","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Harvest/Postharvest"
"Q13a_15","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Emerging Crops (e.g. hemp)"
"Q13a_16","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Testing new products (pesticides, herbicides, biostimulants etc.)"
"Q13a_17","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Niche marketing of field crops"
"Q13a_18","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Greenhouse Gas Emissions Reduction"
"Q13a_19","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Organic Production"
"Q13a_20","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Other (please specify)"
"Q13a_20_TEXT","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Other (please specify) - Text"
"Q13b_1","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Irrigation Management/Crop water requirements"
"Q13b_2","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Water Conservation and Storage"
"Q13b_3","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Nutrient Management (fertilizer application rates, timing, methods, etc.)"
"Q13b_4","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Salinity Management"
"Q13b_5","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Soil Health Management (ex. conservation tillage, crop rotation)"
"Q13b_6","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Cover Crops"
"Q13b_7","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Weed Control"
"Q13b_8","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Insect Pest Control"
"Q13b_9","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Disease Control"
"Q13b_10","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Manure Management"
"Q13b_11","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Compost Management"
"Q13b_12","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Crop Establishment"
"Q13b_13","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Variety Testing"
"Q13b_14","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Harvest/Postharvest"
"Q13b_15","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Emerging Crops (e.g. hemp)"
"Q13b_16","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Testing new products (pesticides, herbicides, biostimulants etc.)"
"Q13b_17","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Niche marketing of field crops"
"Q13b_18","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Greenhouse Gas Emissions Reduction"
"Q13b_19","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Organic Production"
"Q13b_20","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Other (please specify)"
"Q13b_20_TEXT","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Other (please specify) - Text"
"Q14","What type of information would you like to receive from UC Cooperative Extension? - Selected Choice"
"Q14_9_TEXT","What type of information would you like to receive from UC Cooperative Extension? - Other (please specify): - Text"
"Q15","How would you prefer to receive information from UC Cooperative Extension (check all that apply) - Selected Choice"
"Q15_11_TEXT","How would you prefer to receive information from UC Cooperative Extension (check all that apply) - Other (specify) - Text"
"Q16","Where do you most often look for field crop production information on the internet? - Selected Choice"
"Q16_5_TEXT","Where do you most often look for field crop production information on the internet? - Other state's Cooperative Extension websites (specify which universities): - Text"
"Q16_6_TEXT","Where do you most often look for field crop production information on the internet? - Farmer network or forum (please specify) - Text"
"Q16_7_TEXT","Where do you most often look for field crop production information on the internet? - YouTube (who/what channel?) - Text"
"Q16_9_TEXT","Where do you most often look for field crop production information on the internet? - Other (specify) - Text"
"Q17_1","How long have you been involved in field crop production? - Years involved in agronomic crop production on any farm"
"Q17_2","How long have you been involved in field crop production? - Years on present farm"
"Q17c","How long have you been consulting on field crops?"
"Q18_4","Approximately what percentage of your total income comes from farming? - % income from farming"
"Q18c_4","Approximately what percentage of your total income comes from consulting? - % income from consulting"
"Q19_4","Of the total acres you manage or consult on annually, what % are irrigated? - % total irrigated acres"
"Q20_1","Of the total acres you manage or consult on annually, what % are leased or owned? - % Leased"
"Q20_2","Of the total acres you manage or consult on annually, what % are leased or owned? - % Owned"
"Q21","Do you have ideas for applied research or Extension that you would like to see tested?"
"Q22","Optional Demographic Questions:
Age"
"Q23","How do you describe yourself?"
"Q24","Race/Ethnicity (check one or more) - Selected Choice"
"Q24_7_TEXT","Race/Ethnicity (check one or more) - Other (please specify) - Text"
"Q25","Thank you so much for completing this questionnaire! Would you like to enter your email address to receive a $10 gift card?"
"Q6_13_TEXT - Sentiment","Q6_13_TEXT - Sentiment"
"Q6_13_TEXT - Sentiment Score","Q6_13_TEXT - Sentiment Score"
"Q6_13_TEXT - Sentiment Polarity","Q6_13_TEXT - Sentiment Polarity"
"Q6_13_TEXT - Topic Sentiment Label","Q6_13_TEXT - Topic Sentiment Label"
"Q6_13_TEXT - Topic Sentiment Score","Q6_13_TEXT - Topic Sentiment Score"
"Q6_13_TEXT - Topics","Q6_13_TEXT - Topics"
"Q6_13_TEXT - Parent Topics","Q6_13_TEXT - Parent Topics"
"Size Quartile 1","Size Quartile 1"
"Q1_6_TEXT - Sentiment","Q1_6_TEXT - Sentiment"
"Q1_6_TEXT - Sentiment Score","Q1_6_TEXT - Sentiment Score"
"Q1_6_TEXT - Sentiment Polarity","Q1_6_TEXT - Sentiment Polarity"
"Q1_6_TEXT - Topic Sentiment Label","Q1_6_TEXT - Topic Sentiment Label"
"Q1_6_TEXT - Topic Sentiment Score","Q1_6_TEXT - Topic Sentiment Score"
"Q1_6_TEXT - Topics","Q1_6_TEXT - Topics"
"Q1_6_TEXT - Parent Topics","Q1_6_TEXT - Parent Topics"
